warehouse_name,date,storage,next_day_storage
Bleach,2024-05-25,19,16.0
Bleach,2024-05-26,16,20.0
Bleach,2024-05-27,20,24.0
Bleach,2024-05-28,24,20.0
Bleach,2024-05-29,20,20.0
Bleach,2024-05-30,20,21.0
Bleach,2024-05-31,21,18.0
Bleach,2024-06-01,18,18.0
Bleach,2024-06-02,18,17.0
Bleach,2024-06-03,17,26.0
Bleach,2024-06-04,26,27.0
Bleach,2024-06-05,27,
Canned Beans,2024-02-05,11,9.0
Canned Beans,2024-02-06,9,8.0
Canned Beans,2024-02-07,8,12.0
Canned Beans,2024-02-08,12,10.0
Canned Beans,2024-02-09,10,8.0
Canned Beans,2024-02-10,8,8.0
Canned Beans,2024-02-11,8,8.0
Canned Beans,2024-02-12,8,7.0
Canned Beans,2024-02-13,7,8.0
Canned Beans,2024-02-14,8,10.0
Canned Beans,2024-02-15,10,9.0
Canned Beans,2024-02-16,9,7.0
Canned Beans,2024-02-17,7,7.0
Canned Beans,2024-02-18,7,8.0
Canned Beans,2024-02-19,8,8.0
Canned Beans,2024-02-20,8,8.0
Canned Beans,2024-02-21,8,11.0
Canned Beans,2024-02-22,11,9.0
Canned Beans,2024-02-23,9,8.0
Canned Beans,2024-02-24,8,7.0
Canned Beans,2024-02-25,7,8.0
Canned Beans,2024-02-26,8,8.0
Canned Beans,2024-02-27,8,10.0
Canned Beans,2024-02-28,10,13.0
Canned Beans,2024-02-29,13,11.0
Canned Beans,2024-03-01,11,8.0
Canned Beans,2024-03-02,8,8.0
Canned Beans,2024-03-03,8,9.0
Canned Beans,2024-03-04,9,9.0
Canned Beans,2024-03-05,9,9.0
Canned Beans,2024-03-06,9,17.0
Canned Beans,2024-03-07,17,15.0
Canned Beans,2024-03-08,15,11.0
Canned Beans,2024-03-09,11,11.0
Canned Beans,2024-03-10,11,10.0
Canned Beans,2024-03-11,10,11.0
Canned Beans,2024-03-12,11,16.0
Canned Beans,2024-03-13,16,15.0
Canned Beans,2024-03-14,15,15.0
Canned Beans,2024-03-15,15,11.0
Canned Beans,2024-03-16,11,11.0
Canned Beans,2024-03-17,11,12.0
Canned Beans,2024-03-18,12,11.0
Canned Beans,2024-03-19,11,12.0
Canned Beans,2024-03-20,12,15.0
Canned Beans,2024-03-21,15,15.0
Canned Beans,2024-03-22,15,12.0
Canned Beans,2024-03-23,12,12.0
Canned Beans,2024-03-24,12,14.0
Canned Beans,2024-03-25,14,17.0
Canned Beans,2024-03-26,17,16.0
Canned Beans,2024-03-27,16,17.0
Canned Beans,2024-03-28,17,20.0
Canned Beans,2024-03-29,20,19.0
Canned Beans,2024-03-30,19,18.0
Canned Beans,2024-03-31,18,18.0
Canned Beans,2024-04-01,18,19.0
Canned Beans,2024-04-02,19,18.0
Canned Beans,2024-04-03,18,12.0
Canned Beans,2024-04-04,12,9.0
Canned Beans,2024-04-05,9,9.0
Canned Beans,2024-04-06,9,7.0
Canned Beans,2024-04-07,7,7.0
Canned Beans,2024-04-08,7,6.0
Canned Beans,2024-04-09,6,8.0
Canned Beans,2024-04-10,8,9.0
Canned Beans,2024-04-11,9,10.0
Canned Beans,2024-04-12,10,10.0
Canned Beans,2024-04-13,10,8.0
Canned Beans,2024-04-14,8,9.0
Canned Beans,2024-04-15,9,10.0
Canned Beans,2024-04-16,10,10.0
Canned Beans,2024-04-17,10,12.0
Canned Beans,2024-04-18,12,11.0
Canned Beans,2024-04-19,11,10.0
Canned Beans,2024-04-20,10,9.0
Canned Beans,2024-04-21,9,12.0
Canned Beans,2024-04-22,12,9.0
Canned Beans,2024-04-23,9,11.0
Canned Beans,2024-04-24,11,19.0
Canned Beans,2024-04-25,19,11.0
Canned Beans,2024-04-26,11,9.0
Canned Beans,2024-04-27,9,15.0
Canned Beans,2024-04-28,15,25.0
Canned Beans,2024-04-29,25,16.0
Canned Beans,2024-04-30,16,13.0
Canned Beans,2024-05-01,13,21.0
Canned Beans,2024-05-02,21,16.0
Canned Beans,2024-05-03,16,13.0
Canned Beans,2024-05-04,13,12.0
Canned Beans,2024-05-05,12,19.0
Canned Beans,2024-05-06,19,37.0
Canned Beans,2024-05-07,37,27.0
Canned Beans,2024-05-08,27,19.0
Canned Beans,2024-05-09,19,20.0
Canned Beans,2024-05-10,20,16.0
Canned Beans,2024-05-11,16,12.0
Canned Beans,2024-05-12,12,18.0
Canned Beans,2024-05-13,18,16.0
Canned Beans,2024-05-14,16,13.0
Canned Beans,2024-05-15,13,15.0
Canned Beans,2024-05-16,15,35.0
Canned Beans,2024-05-17,35,34.0
Canned Beans,2024-05-18,34,37.0
Canned Beans,2024-05-19,37,27.0
Canned Beans,2024-05-20,27,14.0
Canned Beans,2024-05-21,14,13.0
Canned Beans,2024-05-22,13,13.0
Canned Beans,2024-05-23,13,10.0
Canned Beans,2024-05-24,10,9.0
Canned Beans,2024-05-25,9,8.0
Canned Beans,2024-05-26,8,9.0
Canned Beans,2024-05-27,9,9.0
Canned Beans,2024-05-28,9,9.0
Canned Beans,2024-05-29,9,13.0
Canned Beans,2024-05-30,13,13.0
Canned Beans,2024-05-31,13,11.0
Canned Beans,2024-06-01,11,11.0
Canned Beans,2024-06-02,11,10.0
Canned Beans,2024-06-03,10,10.0
Canned Beans,2024-06-04,10,11.0
Canned Beans,2024-06-05,11,
Canned Soup,2024-02-05,85,86.0
Canned Soup,2024-02-06,86,85.0
Canned Soup,2024-02-07,85,84.0
Canned Soup,2024-02-08,84,82.0
Canned Soup,2024-02-09,82,79.0
Canned Soup,2024-02-10,79,70.0
Canned Soup,2024-02-11,70,76.0
Canned Soup,2024-02-12,76,79.0
Canned Soup,2024-02-13,79,79.0
Canned Soup,2024-02-14,79,78.0
Canned Soup,2024-02-15,78,79.0
Canned Soup,2024-02-16,79,68.0
Canned Soup,2024-02-17,68,84.0
Canned Soup,2024-02-18,84,81.0
Canned Soup,2024-02-19,81,87.0
Canned Soup,2024-02-20,87,90.0
Canned Soup,2024-02-21,90,84.0
Canned Soup,2024-02-22,84,90.0
Canned Soup,2024-02-23,90,90.0
Canned Soup,2024-02-24,90,89.0
Canned Soup,2024-02-25,89,89.0
Canned Soup,2024-02-26,89,91.0
Canned Soup,2024-02-27,91,91.0
Canned Soup,2024-02-28,91,93.0
Canned Soup,2024-02-29,93,94.0
Canned Soup,2024-03-01,94,83.0
Canned Soup,2024-03-02,83,79.0
Canned Soup,2024-03-03,79,93.0
Canned Soup,2024-03-04,93,89.0
Canned Soup,2024-03-05,89,92.0
Canned Soup,2024-03-06,92,93.0
Canned Soup,2024-03-07,93,107.0
Canned Soup,2024-03-08,107,96.0
Canned Soup,2024-03-09,96,89.0
Canned Soup,2024-03-10,89,93.0
Canned Soup,2024-03-11,93,98.0
Canned Soup,2024-03-12,98,102.0
Canned Soup,2024-03-13,102,100.0
Canned Soup,2024-03-14,100,100.0
Canned Soup,2024-03-15,100,94.0
Canned Soup,2024-03-16,94,91.0
Canned Soup,2024-03-17,91,94.0
Canned Soup,2024-03-18,94,102.0
Canned Soup,2024-03-19,102,100.0
Canned Soup,2024-03-20,100,110.0
Canned Soup,2024-03-21,110,112.0
Canned Soup,2024-03-22,112,99.0
Canned Soup,2024-03-23,99,100.0
Canned Soup,2024-03-24,100,112.0
Canned Soup,2024-03-25,112,107.0
Canned Soup,2024-03-26,107,109.0
Canned Soup,2024-03-27,109,114.0
Canned Soup,2024-03-28,114,109.0
Canned Soup,2024-03-29,109,109.0
Canned Soup,2024-03-30,109,107.0
Canned Soup,2024-03-31,107,113.0
Canned Soup,2024-04-01,113,117.0
Canned Soup,2024-04-02,117,106.0
Canned Soup,2024-04-03,106,91.0
Canned Soup,2024-04-04,91,98.0
Canned Soup,2024-04-05,98,90.0
Canned Soup,2024-04-06,90,79.0
Canned Soup,2024-04-07,79,75.0
Canned Soup,2024-04-08,75,77.0
Canned Soup,2024-04-09,77,78.0
Canned Soup,2024-04-10,78,83.0
Canned Soup,2024-04-11,83,86.0
Canned Soup,2024-04-12,86,89.0
Canned Soup,2024-04-13,89,94.0
Canned Soup,2024-04-14,94,97.0
Canned Soup,2024-04-15,97,93.0
Canned Soup,2024-04-16,93,91.0
Canned Soup,2024-04-17,91,87.0
Canned Soup,2024-04-18,87,82.0
Canned Soup,2024-04-19,82,84.0
Canned Soup,2024-04-20,84,85.0
Canned Soup,2024-04-21,85,84.0
Canned Soup,2024-04-22,84,89.0
